序号,协议,链,操作步骤,交易类型,金额,tx hash / signature,截图,时间(UTC),验证状态,给解析的要点
15,BNSOL,Solana,赎回,解押/赎回,,⬜（原表：疑似赎回不了）,⬜待截图,,⬜待做,推断为 WithdrawSol 储备不足需走 WithdrawStake（等一个epoch）；请记录报错文案
16,Huma,Solana,Prime tab 存款,申购 Deposit,,F1MdrX5dwq6MYraF7NYNnZMs65dCCiFbAaf8BRES1qQFBQa7dQAgQh8X4gvsfSH8eK4rrdQiG3GE6zoiGUz4yXq,huma-deposit-prime.png,2026-07,✅已有,程序 prm1azdDGzyqP76s3Hv2nuG3uLnBgR5u2d7pANwmmzC
17,Huma,Solana,Prime 赎回申请,赎回申请,,LnpBYdHUbY8mjL8GzUBhPRexfmEZ5uLRXzLm4PUjd7oLijgwjPywdESD6FgtnFCVe2ZsVeZmiQGCLyhUF4Jn53K,—,2026-07-29 15:48,✅链上已验,指令 CreateDepositorAccounts + RequestRedemption
18,Huma,Solana,Stake $HUMA（第1笔）,质押,12 HUMA,3j1E13TAKht5hRwV5GMgBWgyyMuFZxfdS8scN4YZSoaZab76bZ5NUjbEozdsfZQbhwoXV5K2nKyxxZhiYsd68iiM,huma-stake.png,2026-07-29 15:50,✅链上已验,🔴原表误标为解质押；程序 vsRJM68m7i18PwzTFphgPYXTujCgxEi28knpUwSmg3q
19,Huma,Solana,Stake $HUMA（第2笔）,质押-锁仓转移,,YWLyFXCwChuPwHSvLJJdLBeWuL9tUwyPryivx1c3c37U1FZaTNePNgmUte4czF9f12Ggpu8kKDwqXKfYrhcoACe,huma-unstake-success.png,2026-07-29 15:51,✅链上已验,InternalTransferLocked；一次质押=2笔，只解析一笔会漏
20,Huma,Solana,真正的解质押 Unstake,解质押,,⬜待补,⬜待截图,,⬜待做,现有三笔里没有真正的 unstake
21,Re reUSD,Ethereum,旁证-别人的申购,申购,35000 USDC → 32032.1169 reUSD,0xf252d674eacd3b3ba48449f71a28a202d1b71e0f46f8aa87e7cd5f6f92c9bdbc,—,—,✅链上已验,交叉验证用；入场NAV=1.09264
22,Re reUSDe,Ethereum,旁证-别人的申购,申购,24994.5262 USDe → 17892.7882 reUSDe,0x38a21b691067a5de68f440123d6231ec8b6133fc0b24e1eecaed7efe8e83e76f,—,—,✅链上已验,反推NAV 1.39694 vs 页面1.3970/Mint汇率1.3974 三者吻合
23,Re reUSDe,Ethereum,旁证-别人的赎回,赎回,1.0 reUSDe,0xb5ef00777bea1d3f8c34ac9cf071d25d4efcf1f634bc517c3f82420943056036,—,—,✅链上已验,Transfer(to=0x0)
24,Re reUSD,Ethereum,🔴负向用例,非申赎（不该产生记录）,16.12 reUSD 流转,0xa122e5a8826929a0ddb30917ac1912486ed6a4ed3e49090f13d6acc033d8f35a,—,—,✅链上已验,80条日志；经Permit2/UniV4/Pendle；无mint无burn；解析器不该识别为申赎
25,Nest nOPAL,BNB,旁证-别人的赎回,赎回,5583.869538 nOPAL,0xd9f45ecb06b1b87d2b72daac161f1752bc1dd0cd5ff576cbf485781bd8f4d3b4,—,—,✅链上已验,合约0x119dd7daff816f29d7ee47596ae5e4bdc4299165；decimals=6；三链同址
26,Unitas XGLD,BNB,旁证-别人的申购,申购,0.298432 XGLD,0x5a9c4bc2ad7215045daffe12990d2f0c88b37af1a93d587ffd028cff37677e30,—,—,✅链上已验,合约0xe60106a5cAb7e7C64830919d36Ab20CaAf50Ac91；decimals=6；1XGLD≈1盎司黄金
